Education Level Attained,Gender,Age,County,Occurrences
Technical,Male,18 years,State,19803
Technical,Male,18 years,Carlow,277
Technical,Male,18 years,Dublin City,1649
Technical,Male,18 years,Dun Laoghaire-Rathdown,531
Technical,Male,18 years,Fingal,1128
Technical,Male,18 years,South Dublin,1034
Technical,Male,18 years,Kildare,899
Technical,Male,18 years,Kilkenny,493
Technical,Male,18 years,Laois,422
Technical,Male,18 years,Longford,245
Technical,Male,18 years,Louth,533
Technical,Male,18 years,Meath,886
Technical,Male,18 years,Offaly,405
Technical,Male,18 years,Westmeath,391
Technical,Male,18 years,Wexford,805
Technical,Male,18 years,Wicklow,565
Technical,Male,18 years,Clare,514
Technical,Male,18 years,Cork City,417
Technical,Male,18 years,Cork County,1957
Technical,Male,18 years,Kerry,683
Technical,Male,18 years,Limerick City and County,826
Technical,Male,18 years,Tipperary,782
Technical,Male,18 years,Waterford City and County,472
Technical,Male,18 years,Galway City,271
Technical,Male,18 years,Galway County,844
Technical,Male,18 years,Leitrim,163
Technical,Male,18 years,Mayo,592
Technical,Male,18 years,Roscommon,303
Technical,Male,18 years,Sligo,317
Technical,Male,18 years,Cavan,468
Technical,Male,18 years,Donegal,601
Technical,Male,18 years,Monaghan,330
Technical,Male,19 years,State,10814
Technical,Male,19 years,Carlow,162
Technical,Male,19 years,Dublin City,922
Technical,Male,19 years,Dun Laoghaire-Rathdown,277
Technical,Male,19 years,Fingal,701
Technical,Male,19 years,South Dublin,598
Technical,Male,19 years,Kildare,501
Technical,Male,19 years,Kilkenny,241
Technical,Male,19 years,Laois,215
Technical,Male,19 years,Longford,141
Technical,Male,19 years,Louth,270
Technical,Male,19 years,Meath,486
Technical,Male,19 years,Offaly,181
Technical,Male,19 years,Westmeath,211
Technical,Male,19 years,Wexford,440
Technical,Male,19 years,Wicklow,288
Technical,Male,19 years,Clare,270
Technical,Male,19 years,Cork City,212
Technical,Male,19 years,Cork County,1144
Technical,Male,19 years,Kerry,343
Technical,Male,19 years,Limerick City and County,410
Technical,Male,19 years,Tipperary,450
Technical,Male,19 years,Waterford City and County,258
Technical,Male,19 years,Galway City,175
Technical,Male,19 years,Galway County,456
Technical,Male,19 years,Leitrim,89
Technical,Male,19 years,Mayo,344
Technical,Male,19 years,Roscommon,165
Technical,Male,19 years,Sligo,146
Technical,Male,19 years,Cavan,291
Technical,Male,19 years,Donegal,272
Technical,Male,19 years,Monaghan,155
Technical,Male,20 years,State,10426
Technical,Male,20 years,Carlow,145
Technical,Male,20 years,Dublin City,854
Technical,Male,20 years,Dun Laoghaire-Rathdown,329
Technical,Male,20 years,Fingal,683
Technical,Male,20 years,South Dublin,587
Technical,Male,20 years,Kildare,519
Technical,Male,20 years,Kilkenny,252
Technical,Male,20 years,Laois,179
Technical,Male,20 years,Longford,120
Technical,Male,20 years,Louth,295
Technical,Male,20 years,Meath,477
Technical,Male,20 years,Offaly,195
Technical,Male,20 years,Westmeath,201
Technical,Male,20 years,Wexford,344
Technical,Male,20 years,Wicklow,300
Technical,Male,20 years,Clare,274
Technical,Male,20 years,Cork City,253
Technical,Male,20 years,Cork County,1175
Technical,Male,20 years,Kerry,370
Technical,Male,20 years,Limerick City and County,420
Technical,Male,20 years,Tipperary,332
Technical,Male,20 years,Waterford City and County,223
Technical,Male,20 years,Galway City,207
Technical,Male,20 years,Galway County,459
Technical,Male,20 years,Leitrim,69
Technical,Male,20 years,Mayo,293
Technical,Male,20 years,Roscommon,148
Technical,Male,20 years,Sligo,139
Technical,Male,20 years,Cavan,246
Technical,Male,20 years,Donegal,216
Technical,Male,20 years,Monaghan,122
Technical,Male,21 years,State,6185
Technical,Male,21 years,Carlow,71
Technical,Male,21 years,Dublin City,565
Technical,Male,21 years,Dun Laoghaire-Rathdown,260
Technical,Male,21 years,Fingal,434
Technical,Male,21 years,South Dublin,372
Technical,Male,21 years,Kildare,317
Technical,Male,21 years,Kilkenny,123
Technical,Male,21 years,Laois,87
Technical,Male,21 years,Longford,66
Technical,Male,21 years,Louth,160
Technical,Male,21 years,Meath,265
Technical,Male,21 years,Offaly,86
Technical,Male,21 years,Westmeath,96
Technical,Male,21 years,Wexford,209
Technical,Male,21 years,Wicklow,181
Technical,Male,21 years,Clare,147
Technical,Male,21 years,Cork City,183
Technical,Male,21 years,Cork County,772
Technical,Male,21 years,Kerry,219
Technical,Male,21 years,Limerick City and County,221
Technical,Male,21 years,Tipperary,186
Technical,Male,21 years,Waterford City and County,140
Technical,Male,21 years,Galway City,115
Technical,Male,21 years,Galway County,241
Technical,Male,21 years,Leitrim,37
Technical,Male,21 years,Mayo,162
Technical,Male,21 years,Roscommon,72
Technical,Male,21 years,Sligo,87
Technical,Male,21 years,Cavan,117
Technical,Male,21 years,Donegal,131
Technical,Male,21 years,Monaghan,63
Technical,Male,22 years,State,3532
Technical,Male,22 years,Carlow,42
Technical,Male,22 years,Dublin City,384
Technical,Male,22 years,Dun Laoghaire-Rathdown,159
Technical,Male,22 years,Fingal,226
Technical,Male,22 years,South Dublin,217
Technical,Male,22 years,Kildare,189
Technical,Male,22 years,Kilkenny,65
Technical,Male,22 years,Laois,51
Technical,Male,22 years,Longford,26
Technical,Male,22 years,Louth,70
Technical,Male,22 years,Meath,163
Technical,Male,22 years,Offaly,53
Technical,Male,22 years,Westmeath,66
Technical,Male,22 years,Wexford,95
Technical,Male,22 years,Wicklow,107
Technical,Male,22 years,Clare,82
Technical,Male,22 years,Cork City,98
Technical,Male,22 years,Cork County,402
Technical,Male,22 years,Kerry,117
Technical,Male,22 years,Limerick City and County,135
Technical,Male,22 years,Tipperary,99
Technical,Male,22 years,Waterford City and County,69
Technical,Male,22 years,Galway City,72
Technical,Male,22 years,Galway County,137
Technical,Male,22 years,Leitrim,26
Technical,Male,22 years,Mayo,101
Technical,Male,22 years,Roscommon,32
Technical,Male,22 years,Sligo,36
Technical,Male,22 years,Cavan,80
Technical,Male,22 years,Donegal,89
Technical,Male,22 years,Monaghan,44
Technical,Male,23 years,State,1825
Technical,Male,23 years,Carlow,24
Technical,Male,23 years,Dublin City,226
Technical,Male,23 years,Dun Laoghaire-Rathdown,70
Technical,Male,23 years,Fingal,131
Technical,Male,23 years,South Dublin,110
Technical,Male,23 years,Kildare,94
Technical,Male,23 years,Kilkenny,29
Technical,Male,23 years,Laois,26
Technical,Male,23 years,Longford,17
Technical,Male,23 years,Louth,31
Technical,Male,23 years,Meath,69
Technical,Male,23 years,Offaly,27
Technical,Male,23 years,Westmeath,29
Technical,Male,23 years,Wexford,68
Technical,Male,23 years,Wicklow,57
Technical,Male,23 years,Clare,49
Technical,Male,23 years,Cork City,55
Technical,Male,23 years,Cork County,209
Technical,Male,23 years,Kerry,51
Technical,Male,23 years,Limerick City and County,70
Technical,Male,23 years,Tipperary,46
Technical,Male,23 years,Waterford City and County,36
Technical,Male,23 years,Galway City,48
Technical,Male,23 years,Galway County,63
Technical,Male,23 years,Leitrim,11
Technical,Male,23 years,Mayo,49
Technical,Male,23 years,Roscommon,30
Technical,Male,23 years,Sligo,16
Technical,Male,23 years,Cavan,34
Technical,Male,23 years,Donegal,36
Technical,Male,23 years,Monaghan,14
Technical,Male,24 years,State,1263
Technical,Male,24 years,Carlow,21
Technical,Male,24 years,Dublin City,161
Technical,Male,24 years,Dun Laoghaire-Rathdown,51
Technical,Male,24 years,Fingal,87
Technical,Male,24 years,South Dublin,96
Technical,Male,24 years,Kildare,57
Technical,Male,24 years,Kilkenny,25
Technical,Male,24 years,Laois,26
Technical,Male,24 years,Longford,15
Technical,Male,24 years,Louth,35
Technical,Male,24 years,Meath,50
Technical,Male,24 years,Offaly,19
Technical,Male,24 years,Westmeath,17
Technical,Male,24 years,Wexford,34
Technical,Male,24 years,Wicklow,43
Technical,Male,24 years,Clare,24
Technical,Male,24 years,Cork City,42
Technical,Male,24 years,Cork County,109
Technical,Male,24 years,Kerry,46
Technical,Male,24 years,Limerick City and County,45
Technical,Male,24 years,Tipperary,31
Technical,Male,24 years,Waterford City and County,24
Technical,Male,24 years,Galway City,25
Technical,Male,24 years,Galway County,52
Technical,Male,24 years,Leitrim,9
Technical,Male,24 years,Mayo,33
Technical,Male,24 years,Roscommon,12
Technical,Male,24 years,Sligo,13
Technical,Male,24 years,Cavan,19
Technical,Male,24 years,Donegal,28
Technical,Male,24 years,Monaghan,14
Technical,Male,25 years and over,State,5580
Technical,Male,25 years and over,Carlow,46
Technical,Male,25 years and over,Dublin City,740
Technical,Male,25 years and over,Dun Laoghaire-Rathdown,211
Technical,Male,25 years and over,Fingal,384
Technical,Male,25 years and over,South Dublin,348
Technical,Male,25 years and over,Kildare,246
Technical,Male,25 years and over,Kilkenny,119
