County,Males,Females
Carlow,28465,28467
Dublin City,272270,282284
Dun-Laoghaire Rathdown,104584,113434
Fingal,145240,150780
South Dublin,136277,142490
Kildare,110546,111958
Kilkenny,49533,49699
Laois,42811,41886
Longford,20587,20286
Louth,63633,65251
Meath,96776,98268
Offaly,38838,39123
Westmeath,44082,44688
Wexford,73722,76000
Wicklow,70156,72269
Clare,58785,60032
Cork City,61722,63935
Cork County,206953,210258
Kerry,73055,74652
Limerick,97340,97559
Limerick City,97340,97559
South Tipperary,79668,79885
North Tipperary,79668,79885
Waterford,57651,58525
Waterford City,57651,58525
Galway City,37800,40868
Galway,89863,89527
Leitrim,16064,15980
Mayo,65047,65460
Roscommon,32377,32167
Sligo,32365,33170
Cavan,38330,37846
Donegal,79022,80170
Monaghan,30866,30520
