Population Aged 15 Years and Over 2011 to 2016 (Number) by Highest,,,,
"Level of Ed, Sex, Age at which Full Time Education Ceased, County and",,,,
City and Census Year,,,,
,,,,
 , , , ,2016
No formal education,,,,
 ,Male,,,
 , ,18 years,,
 , , ,State,811
 , , ,Carlow,3
 , , ,Dublin City,58
 , , ,Dún Laoghaire-Rathdown,24
 , , ,Fingal,30
 , , ,South Dublin,45
 , , ,Kildare,64
 , , ,Kilkenny,18
 , , ,Laois,16
 , , ,Longford,8
 , , ,Louth,26
 , , ,Meath,21
 , , ,Offaly,14
 , , ,Westmeath,13
 , , ,Wexford,30
 , , ,Wicklow,27
 , , ,Clare,8
 , , ,Cork City,33
 , , ,Cork County,82
 , , ,Kerry,23
 , , ,Limerick City and County,54
 , , ,Tipperary,38
 , , ,Waterford City and County,26
 , , ,Galway City,8
 , , ,Galway County,23
 , , ,Leitrim,2
 , , ,Mayo,35
 , , ,Roscommon,10
 , , ,Sligo,18
 , , ,Cavan,10
 , , ,Donegal,19
 , , ,Monaghan,25
 , ,19 years,,
 , , ,State,60
 , , ,Carlow,0
 , , ,Dublin City,8
 , , ,Dún Laoghaire-Rathdown,2
 , , ,Fingal,3
 , , ,South Dublin,2
 , , ,Kildare,6
 , , ,Kilkenny,4
 , , ,Laois,0
 , , ,Longford,1
 , , ,Louth,1
 , , ,Meath,1
 , , ,Offaly,0
 , , ,Westmeath,1
 , , ,Wexford,2
 , , ,Wicklow,1
 , , ,Clare,1
 , , ,Cork City,5
 , , ,Cork County,6
 , , ,Kerry,1
 , , ,Limerick City and County,3
 , , ,Tipperary,3
 , , ,Waterford City and County,1
 , , ,Galway City,0
 , , ,Galway County,3
 , , ,Leitrim,0
 , , ,Mayo,0
 , , ,Roscommon,1
 , , ,Sligo,0
 , , ,Cavan,0
 , , ,Donegal,2
 , , ,Monaghan,2
 , ,20 years,,
 , , ,State,24
 , , ,Carlow,0
 , , ,Dublin City,3
 , , ,Dún Laoghaire-Rathdown,1
 , , ,Fingal,3
 , , ,South Dublin,3
 , , ,Kildare,3
 , , ,Kilkenny,1
 , , ,Laois,0
 , , ,Longford,1
 , , ,Louth,0
 , , ,Meath,1
 , , ,Offaly,0
 , , ,Westmeath,0
 , , ,Wexford,0
 , , ,Wicklow,0
 , , ,Clare,0
 , , ,Cork City,0
 , , ,Cork County,1
 , , ,Kerry,0
 , , ,Limerick City and County,2
 , , ,Tipperary,0
 , , ,Waterford City and County,0
 , , ,Galway City,0
 , , ,Galway County,2
 , , ,Leitrim,0
 , , ,Mayo,1
 , , ,Roscommon,1
 , , ,Sligo,0
 , , ,Cavan,0
 , , ,Donegal,1
 , , ,Monaghan,0
 , ,21 years,,
 , , ,State,15
 , , ,Carlow,0
 , , ,Dublin City,1
 , , ,Dún Laoghaire-Rathdown,0
 , , ,Fingal,1
 , , ,South Dublin,0
 , , ,Kildare,0
 , , ,Kilkenny,0
 , , ,Laois,0
 , , ,Longford,0
 , , ,Louth,1
 , , ,Meath,1
 , , ,Offaly,0
 , , ,Westmeath,1
 , , ,Wexford,1
 , , ,Wicklow,1
 , , ,Clare,0
 , , ,Cork City,2
 , , ,Cork County,3
 , , ,Kerry,0
 , , ,Limerick City and County,1
 , , ,Tipperary,0
 , , ,Waterford City and County,0
 , , ,Galway City,0
 , , ,Galway County,0
 , , ,Leitrim,0
 , , ,Mayo,0
 , , ,Roscommon,1
 , , ,Sligo,0
 , , ,Cavan,1
 , , ,Donegal,0
 , , ,Monaghan,0
 , ,22 years,,
 , , ,State,7
 , , ,Carlow,1
 , , ,Dublin City,1
 , , ,Dún Laoghaire-Rathdown,0
 , , ,Fingal,0
 , , ,South Dublin,1
 , , ,Kildare,0
 , , ,Kilkenny,0
 , , ,Laois,0
 , , ,Longford,0
 , , ,Louth,1
 , , ,Meath,0
 , , ,Offaly,0
 , , ,Westmeath,0
 , , ,Wexford,0
 , , ,Wicklow,0
 , , ,Clare,0
 , , ,Cork City,0
 , , ,Cork County,0
 , , ,Kerry,0
 , , ,Limerick City and County,1
 , , ,Tipperary,0
 , , ,Waterford City and County,0
 , , ,Galway City,0
 , , ,Galway County,1
 , , ,Leitrim,0
 , , ,Mayo,0
 , , ,Roscommon,0
 , , ,Sligo,0
 , , ,Cavan,0
 , , ,Donegal,0
 , , ,Monaghan,1
 , ,23 years,,
 , , ,State,4
 , , ,Carlow,0
 , , ,Dublin City,1
 , , ,Dún Laoghaire-Rathdown,1
 , , ,Fingal,0
 , , ,South Dublin,0
 , , ,Kildare,0
 , , ,Kilkenny,0
 , , ,Laois,1
 , , ,Longford,0
 , , ,Louth,0
 , , ,Meath,0
 , , ,Offaly,0
 , , ,Westmeath,0
 , , ,Wexford,0
 , , ,Wicklow,1
 , , ,Clare,0
 , , ,Cork City,0
 , , ,Cork County,0
 , , ,Kerry,0
 , , ,Limerick City and County,0
 , , ,Tipperary,0
 , , ,Waterford City and County,0
 , , ,Galway City,0
 , , ,Galway County,0
 , , ,Leitrim,0
 , , ,Mayo,0
 , , ,Roscommon,0
 , , ,Sligo,0
 , , ,Cavan,0
 , , ,Donegal,0
 , , ,Monaghan,0
 , ,24 years,,
 , , ,State,6
 , , ,Carlow,0
 , , ,Dublin City,0
 , , ,Dún Laoghaire-Rathdown,0
 , , ,Fingal,0
 , , ,South Dublin,0
 , , ,Kildare,0
 , , ,Kilkenny,0
 , , ,Laois,0
 , , ,Longford,0
 , , ,Louth,0
 , , ,Meath,0
 , , ,Offaly,0
 , , ,Westmeath,1
 , , ,Wexford,0
 , , ,Wicklow,2
 , , ,Clare,0
 , , ,Cork City,0
 , , ,Cork County,1
 , , ,Kerry,0
 , , ,Limerick City and County,0
 , , ,Tipperary,1
