Education,Gender,Age,County,Occurrences
No formal education,Male,18 years,State,811
No formal education,Male,18 years,Carlow,3
No formal education,Male,18 years,Dublin City,58
No formal education,Male,18 years,Dún Laoghaire-Rathdown,24
No formal education,Male,18 years,Fingal,30
No formal education,Male,18 years,South Dublin,45
No formal education,Male,18 years,Kildare,64
No formal education,Male,18 years,Kilkenny,18
No formal education,Male,18 years,Laois,16
No formal education,Male,18 years,Longford,8
No formal education,Male,18 years,Louth,26
No formal education,Male,18 years,Meath,21
No formal education,Male,18 years,Offaly,14
No formal education,Male,18 years,Westmeath,13
No formal education,Male,18 years,Wexford,30
No formal education,Male,18 years,Wicklow,27
No formal education,Male,18 years,Clare,8
No formal education,Male,18 years,Cork City,33
No formal education,Male,18 years,Cork County,82
No formal education,Male,18 years,Kerry,23
No formal education,Male,18 years,Limerick City and County,54
No formal education,Male,18 years,Tipperary,38
No formal education,Male,18 years,Waterford City and County,26
No formal education,Male,18 years,Galway City,8
No formal education,Male,18 years,Galway County,23
No formal education,Male,18 years,Leitrim,2
No formal education,Male,18 years,Mayo,35
No formal education,Male,18 years,Roscommon,10
No formal education,Male,18 years,Sligo,18
No formal education,Male,18 years,Cavan,10
No formal education,Male,18 years,Donegal,19
No formal education,Male,18 years,Monaghan,25
,,,,
No formal education,Male,19 years,State,60
No formal education,Male,19 years,Carlow,0
No formal education,Male,19 years,Dublin City,8
No formal education,Male,19 years,Dún Laoghaire-Rathdown,2
No formal education,Male,19 years,Fingal,3
No formal education,Male,19 years,South Dublin,2
No formal education,Male,19 years,Kildare,6
No formal education,Male,19 years,Kilkenny,4
No formal education,Male,19 years,Laois,0
No formal education,Male,19 years,Longford,1
No formal education,Male,19 years,Louth,1
No formal education,Male,19 years,Meath,1
No formal education,Male,19 years,Offaly,0
No formal education,Male,19 years,Westmeath,1
No formal education,Male,19 years,Wexford,2
No formal education,Male,19 years,Wicklow,1
No formal education,Male,19 years,Clare,1
No formal education,Male,19 years,Cork City,5
No formal education,Male,19 years,Cork County,6
No formal education,Male,19 years,Kerry,1
No formal education,Male,19 years,Limerick City and County,3
No formal education,Male,19 years,Tipperary,3
No formal education,Male,19 years,Waterford City and County,1
